#********** START OF renumber-sheet.ulp ULP Version 4.4.4 22-01-2017 :16:46:38 LOG **********#
#OldRef				SheetNumber	NewRef
10U				2	10U41
#********** END OF renumber-sheet.ulp ULP Version 4.4.4 22-01-2017 :16:46:38 LOG **********#

#********** START OF fix_via_hack.ulp ULP Version 4.6.0 22-01-2017 :16:47:12 LOG **********#
TRACK	WireCount=1		Net=3.3V				start(X=48405.000000 Y=69400.000000)	end(X=-92340.000000 Y=153670.000000 )
TRACK	WireCount=2		Net=5V				start(X=-32390.000000 Y=40640.000000)	end(X=153250.000000 Y=29600.000000 )
TRACK	WireCount=3		Net=5V				start(X=-75810.000000 Y=58840.000000)	end(X=-32390.000000 Y=40640.000000 )
TRACK	WireCount=4		Net=5V				start(X=-89220.000000 Y=143615.100000)	end(X=-75810.000000 Y=58840.000000 )
TRACK	WireCount=5		Net=5V				start(X=-94350.000000 Y=149860.000000)	end(X=-89220.000000 Y=143615.100000 )
TRACK	WireCount=6		Net=5V				start(X=-98160.000000 Y=149860.000000)	end(X=-94350.000000 Y=149860.000000 )
TRACK	WireCount=7		Net=5V				start(X=-103770.000000 Y=149860.000000)	end(X=-98160.000000 Y=149860.000000 )
TRACK	WireCount=8		Net=5V				start(X=-107580.000000 Y=149860.000000)	end(X=-103770.000000 Y=149860.000000 )
TRACK	WireCount=9		Net=5V				start(X=-107580.000000 Y=153670.000000)	end(X=-107580.000000 Y=149860.000000 )
TRACK	WireCount=10		Net=5V				start(X=-111390.000000 Y=153670.000000)	end(X=-107580.000000 Y=153670.000000 )
TRACK	WireCount=11		Net=5V				start(X=-111390.000000 Y=149860.000000)	end(X=-107580.000000 Y=149860.000000 )
TRACK	WireCount=12		Net=5V				start(X=-115200.000000 Y=153670.000000)	end(X=-111390.000000 Y=153670.000000 )
TRACK	WireCount=13		Net=5V				start(X=-119010.000000 Y=153670.000000)	end(X=-115200.000000 Y=153670.000000 )
TRACK	WireCount=14		Net=5V				start(X=-122820.000000 Y=153670.000000)	end(X=-119010.000000 Y=153670.000000 )
TRACK	WireCount=15		Net=5V				start(X=-128600.000000 Y=153670.000000)	end(X=-122820.000000 Y=153670.000000 )
TRACK	WireCount=16		Net=5V				start(X=-130440.000000 Y=149860.000000)	end(X=-128600.000000 Y=153670.000000 )
TRACK	WireCount=17		Net=5V				start(X=-99380.000000 Y=143540.100000)	end(X=-98160.000000 Y=149860.000000 )
TRACK	WireCount=18		Net=5V				start(X=-88530.000000 Y=153670.000000)	end(X=-94350.000000 Y=149860.000000 )
TRACK	WireCount=19		Net=5V				start(X=-123342.000000 Y=140970.000000)	end(X=-130440.000000 Y=149860.000000 )
TRACK	WireCount=20		Net=5V				start(X=-46620.000000 Y=153670.000000)	end(X=-88530.000000 Y=153670.000000 )
TRACK	WireCount=21		Net=5V				start(X=-42810.000000 Y=153670.000000)	end(X=-46620.000000 Y=153670.000000 )
TRACK	WireCount=22		Net=A				start(X=144860.000000 Y=45720.000000)	end(X=-105410.000000 Y=41910.000000 )
TRACK	WireCount=23		Net=A				start(X=149860.000000 Y=45720.000000)	end(X=144860.000000 Y=45720.000000 )
TRACK	WireCount=24		Net=A				start(X=73660.000000 Y=82070.000000)	end(X=144860.000000 Y=45720.000000 )
TRACK	WireCount=25		Net=A				start(X=48405.000000 Y=67900.000000)	end(X=-105410.000000 Y=41910.000000 )
TRACK	WireCount=26		Net=A				start(X=109160.000000 Y=65570.000000)	end(X=73660.000000 Y=82070.000000 )
TRACK	WireCount=27		Net=A				start(X=-24130.000000 Y=67310.000000)	end(X=73660.000000 Y=82070.000000 )
TRACK	WireCount=28		Net=A				start(X=-101970.000000 Y=153670.000000)	end(X=48405.000000 Y=67900.000000 )
TRACK	WireCount=29		Net=B				start(X=48405.000000 Y=65400.000000)	end(X=-98160.000000 Y=153670.000000 )
TRACK	WireCount=30		Net=B				start(X=-88900.000000 Y=41910.000000)	end(X=48405.000000 Y=65400.000000 )
TRACK	WireCount=31		Net=B				start(X=144860.000000 Y=55720.000000)	end(X=-88900.000000 Y=41910.000000 )
TRACK	WireCount=32		Net=B				start(X=149860.000000 Y=55720.000000)	end(X=144860.000000 Y=55720.000000 )
